Type,Name,Website,Address
pub,The Willard,Not Provided," East Madison Street, Franklin, Johnson County, Indiana, 46131, United States"
fast_food,Indianapolis 500 Grill,Not Provided," 7800, Colonel H. Weir Cook Memorial Drive, Indianapolis, Marion County, Indiana, 46241, United States"
restaurant,The Trojan Horse,Not Provided," East Kirkwood Avenue, Bloomington, Monroe County, Indiana, 47408, United States"
cafe,Uptown Cafe,Not Provided," East Kirkwood Avenue, Bloomington, Monroe County, Indiana, 47408, United States"
restaurant,Grazie! Italiano,Not Provided," West 6th Street, Bloomington, Monroe County, Indiana, 47404, United States"
restaurant,Hard Rock Cafe,Not Provided," 47, South Meridian Street, Indianapolis, Marion, Indiana, 46204, United States"
restaurant,El Ranchero,Not Provided," 405, East Franklin Street, Spencer, Owen County, Indiana, 47460, United States"
restaurant,Pizza Hut,Not Provided," 310, West Morgan Street, Spencer, Owen County, Indiana, 47460, United States"
restaurant,Pizza Pantry,Not Provided," 357, West Morgan Street, Spencer, Owen County, Indiana, 47460, United States"
fast_food,China Wok,Not Provided," 641, West Morgan Street, Spencer, Owen County, Indiana, 47460, United States"
restaurant,Chambers,Not Provided," 72, West Market Street, Spencer, Owen County, Indiana, 47460, United States"
fast_food,Subway,Not Provided," 168, East Morgan Street, Spencer, Owen County, Indiana, 47460, United States"
fast_food,McDonald's,Not Provided," 480, East Morgan Street, Spencer, Owen County, Indiana, 47460, United States"
fast_food,Dairy Queen,Not Provided," 404, East Morgan Street, Spencer, Owen County, Indiana, 47460, United States"
fast_food,Taco Bell,Not Provided," 234, East Morgan Street, Spencer, Owen County, Indiana, 47460, United States"
fast_food,Subway,Not Provided," West Arch Haven Avenue, Bloomington, Monroe County, Indiana, 47402, United States"
restaurant,Buffalo Wild Wings,Not Provided," West 2nd Street, Bloomington, Monroe County, Indiana, 47403, United States"
restaurant,Cloverleaf Restaurant,Not Provided," West 3rd Street, Bloomington, Monroe County, Indiana, 47404, United States"
restaurant,El Ranchero,Not Provided," West Forrest Park Drive, Forrest Park, Forest Park Heights, Monroe County, Indiana, 47404, United States"
cafe,Nourish Cafe,Not Provided," 4000, Michigan Road, Woodstock, Shooters Hill, Indianapolis, Marion County, Indiana, 46208, United States"
cafe,Starbucks,Not Provided," East 116th Street, Fishers, Hamilton County, Indiana, 46038, United States"
restaurant,Old Bank,Not Provided," South Main Street, Linton, Greene County, Indiana, 47441, United States"
pub,Sportsman's Pub,Not Provided," South Main Street, Linton, Greene County, Indiana, 47441, United States"
cafe,The Grill,Not Provided," 60, SR 54, Linton, Greene County, Indiana, 47441, United States"
fast_food,Goosepond Pizza,Not Provided," Southeast I Street, Linton, Greene County, Indiana, 47441, United States"
cafe,Francisco de Borja Coffee,Not Provided," 20, South Main Street, Linton, Greene County, Indiana, 47441, United States"
restaurant,The Chocolate Moose,http://www.chocolatemoosebloomington.com," South Walnut Street, Bloomington, Monroe County, Indiana, 47401, United States"
restaurant,Canyon Inn Restaurant,Not Provided," 451, Trail 4, Spencer, Owen County, Indiana, 47460, United States"
