Type,Name,Website,Address
community_centre,Vernon Gym (Vernon Elementary School),Not Provided," Washington Street, Vernon, Jennings County, Indiana, 47282, United States"
social_centre,Odd Fellows Home,Not Provided," East Central Avenue, Greensburg, Decatur County, Indiana, 47240, United States"
arts_centre,Christel DeHaan Fine Arts Center,Not Provided," East Hanna Avenue, University Heights, Indianapolis, Marion County, Indiana, 46237, United States"
arts_centre,Cornelius Art Center,Not Provided," East 21st Street, Herron-Morton Place, Herron Morton, Indianapolis, Marion County, Indiana, 46202, United States"
theatre,Ransburg Auditorium,Not Provided," National Avenue, Indianapolis, Marion County, Indiana, 46227, United States"
theatre,Madam Walker Urban Life Center and Theater,Not Provided," North West Street, Fayette Street Conservation Area, Indianapolis, Marion County, Indiana, 46202, United States"
cinema,Wabash Landing 9,http://www.gqti.com/," East State Street, West Lafayette, Tippecanoe County, Indiana, 47902, United States"
community_centre,Freedom Community Center,Not Provided," Spring Street, Freedom, Owen County, Indiana, 47431, United States"
arts_centre,Owen County Art Guild,Not Provided," 199, West Cooper Street, Spencer, Owen County, Indiana, 47460, United States"
theatre,Belfry Theatre,Not Provided," Greenfield Avenue, Hamilton County, Indiana, 46060, United States"
cinema,IMAX,Not Provided," 650, West Washington Street, Indianapolis, Marion County, Indiana, 46222, United States"
theatre,The Lawn at White River State Park,Not Provided," White River Wapahani Trail, Indianapolis, Marion County, Indiana, 46206, United States"
theatre,Zionsville Performing Arts Center,Not Provided," 1000, Mulberry Street, Northern Meadows, Zionsville, Boone County, Indiana, 46077, United States"
theatre,The Palladium at the Center for the Performing Arts,Not Provided," Carter Green, Newark Village, Carmel, Hamilton County, Indiana, 46280, United States"
theatre,,Not Provided," Ted T. Turtle Interpretive Trail, Monroe County, Indiana, 47436, United States"
cinema,Great Escape Seymour 8,Not Provided," 357, Tanger Boulevard, Seymour, Jackson County, Indiana, 47274, United States"
community_centre,Hornet Park Community Center,Not Provided," A Street, Indianapolis, Marion County, Indiana, 46107, United States"
theatre,Mitchell Theatre,Not Provided," 236, West Reade Avenue, Upland, Grant County, Indiana, 46989, United States"
nightclub,Reel One,Not Provided," West Washington Street, Indianapolis, Marion County, Indiana, 46222, United States"
cinema,AMC Castleton Square 14,Not Provided," Castleton Square Drive, Indianapolis, Marion County, Indiana, 46250, United States"
cinema,Tivoli Theater,https://spencertivoli.org/," 24, North Washington Street, Spencer, Owen County, Indiana, 47460, United States"
cinema,Georgetown 14 Cinemas,Not Provided," 3898, Lafayette Road, Indianapolis, Marion County, Indiana, 46254, United States"
nightclub,El Parral Dancing Club,Not Provided," 3830, Georgetown Road, Indianapolis, Marion County, Indiana, 46224, United States"
cinema,Mooresville Movies,Not Provided," 300, Southbridge Street, Mooresville, Morgan County, Indiana, 46151, United States"
community_centre,staffmark,Not Provided," Quaker Boulevard, Plainfield, Hendricks County, Indiana, 46168, United States"
